"jump.times","SpeciesmRNA","SpeciesProtein"
1.02976143294546,619,43
1.03290256337436,618,43
1.03444874851727,617,43
1.03468119914994,616,43
1.03547596858324,615,43
1.03563136745565,614,43
1.04091995489659,613,43
1.04129407922024,613,44
1.04783840733919,612,44
1.05386242542671,612,43
1.06257845437583,611,43
1.06281430334084,611,42
1.06919196113726,610,42
1.07674228876275,609,42
1.07993046618604,608,42
1.08247634280574,607,42
1.0836991146669,606,42
1.08399052822041,605,42
1.08577063440288,604,42
1.09620148491893,603,42
1.10182523162835,602,42
1.10601024372061,601,42
1.10696702998328,600,42
1.10885394171161,599,42
1.10903751913537,598,42
1.11694326121973,598,43
1.11868281059821,597,43
1.12163099383934,596,43
1.12486993024917,595,43
1.12993472459585,594,43
1.13081645393214,593,43
1.13108223876657,592,43
1.13293368955692,591,43
1.1337324378271,591,44
1.13521064672323,590,44
1.13694749317546,589,44
1.14306254106216,588,44
1.15272310792059,587,44
1.16060682792352,586,44
1.17029283083332,585,44
1.17205206198582,584,44
1.17443316187276,584,43
1.17601533161279,583,43
1.19414633262588,582,43
1.19433823588915,581,43
1.19514081845849,580,43
1.1974432798736,579,43
1.19771069980342,578,43
1.19828610691155,577,43
1.1984724993911,576,43
1.19937794534408,575,43
1.20131211753955,574,43
1.20152126525135,574,44
1.20964620176804,573,44
1.21365922210934,573,45
1.21444222787287,572,45
1.21519605426934,571,45
1.22227878908293,570,45
1.22281921535341,569,45
1.22294474640018,568,45
1.22626762662263,567,45
1.22923262876914,566,45
1.22960481344113,565,45
1.22972214637807,564,45
1.22974388750019,563,45
1.23474185065433,562,45
1.23486500169583,562,44
1.23871002425512,561,44
1.23980497060494,560,44
1.24210154825554,559,44
1.24677829761642,558,44
1.24770591767209,557,44
1.25023587446767,556,44
1.25148396863608,555,44
1.25504315890734,555,45
1.25937028034178,554,45
1.26178393373368,554,46
1.26520212086943,554,45
1.26527429404501,554,46
1.26576979496614,553,46
1.26811375663945,552,46
1.26872112441112,551,46
1.27010876122769,550,46
1.27016442836437,550,45
1.27023039928592,549,45
1.27222121313386,549,46
1.27460360422016,548,46
1.27536754804852,547,46
1.27879759386949,546,46
1.28624904250041,545,46
1.28661324691461,545,47
1.28698269046199,544,47
1.2954876926099,543,47
1.29739677627423,543,46
1.29771966982002,542,46
1.29823600525868,541,46
1.29859116906929,540,46
1.29953849826581,539,46
1.30138290336555,538,46
1.30206034479085,537,46
1.30609812124761,537,45
1.31023424551564,537,46
1.31403215635482,536,46
1.31583132717324,535,46
1.31681328348871,535,45
1.31686051940953,535,44
1.31788164615264,534,44
1.32025324675165,533,44
1.32150161153297,532,44
1.32281902196155,532,45
1.32317470678002,532,44
1.32350161359886,531,44
1.32636543486336,530,44
1.3271675877383,530,45
1.33101209671342,529,45
1.3323136296365,528,45
1.33321488011966,527,45
1.33910399804241,526,45
1.3487418073911,526,46
1.35032717331039,525,46
1.3572765041163,524,46
1.36329693823808,523,46
1.36426366069559,522,46
1.36582600262039,521,46
1.36722602985794,520,46
1.36942141773825,519,46
1.37483896374064,518,46
1.37821660840042,517,46
1.38229767397157,516,46
1.38237951566774,515,46
1.38632981003635,515,45
1.38675302751127,514,45
1.38832305965074,513,45
1.39125259549702,512,45
